iter	Passed	Remaining
0	194	58119
1	360	53719
2	526	52082
3	700	51838
4	871	51427
5	1045	51245
6	1211	50705
7	1380	50396
8	1553	50245
9	1720	49885
10	1892	49720
11	2074	49792
12	2257	49848
13	2432	49700
14	2611	49622
15	2782	49385
16	2953	49163
17	3181	49845
18	3401	50310
19	3628	50794
20	3801	50503
21	3973	50207
22	4143	49903
23	4324	49731
24	4501	49519
25	4673	49249
26	4847	49009
27	5044	49007
28	5231	48885
29	5396	48572
30	5578	48405
31	5742	48095
32	5910	47820
33	6091	47658
34	6257	47377
35	6441	47236
36	6627	47105
37	6816	46996
38	6976	46689
39	7153	46498
40	7315	46209
41	7478	45940
42	7655	45754
43	7820	45500
44	8012	45403
45	8180	45168
46	8354	44974
47	8523	44748
48	8701	44574
49	8887	44439
50	9061	44243
51	9250	44115
52	9409	43850
53	9576	43624
54	9756	43458
55	9916	43208
56	10079	42971
57	10249	42765
58	10421	42569
59	10600	42401
60	10776	42221
61	10938	41990
62	11109	41791
63	11274	41573
64	11437	41349
65	11618	41193
66	11808	41064
67	11978	40867
68	12174	40757
69	12354	40592
70	12522	40388
71	12683	40163
72	12842	39935
73	13022	39771
74	13194	39583
75	13372	39413
76	13538	39207
77	13718	39043
78	13914	38924
79	14088	38742
80	14261	38559
81	14436	38378
82	14615	38211
83	14800	38059
84	14993	37924
85	15193	37807
86	15373	37638
87	15524	37400
88	15691	37202
89	15868	37026
90	16047	36857
91	16214	36658
92	16395	36493
93	16562	36296
94	16731	36104
95	16916	35947
96	17093	35773
97	17269	35596
98	17429	35387
99	17589	35179
100	17772	35017
101	17942	34828
102	18105	34628
103	18294	34477
104	18475	34312
105	18647	34127
106	18824	33954
107	18999	33776
108	19171	33593
109	19360	33440
110	19544	33278
111	19743	33141
112	19936	32992
113	20119	32827
114	20300	32657
115	20489	32499
116	20683	32351
117	20876	32199
118	21063	32037
119	21288	31932
120	21460	31747
121	21633	31562
122	21811	31387
123	22039	31281
124	22241	31138
125	22446	30997
126	22647	30850
127	22844	30697
128	23055	30561
129	23244	30397
130	23440	30239
131	23625	30069
132	23827	29918
133	24018	29754
134	24225	29608
135	24426	29455
136	24617	29289
137	24816	29132
138	24987	28941
139	25173	28770
140	25367	28605
141	25560	28440
142	25760	28282
143	25975	28139
144	26162	27966
145	26364	27808
146	26565	27650
147	26766	27490
148	26954	27316
149	27146	27146
150	27349	26987
151	27531	26807
152	27714	26628
153	27894	26444
154	28087	26275
155	28298	26121
156	28498	25957
157	28671	25768
158	28870	25602
159	29048	25417
160	29231	25236
161	29418	25060
162	29627	24901
163	29829	24736
164	29993	24540
165	30206	24383
166	30401	24212
167	30580	24027
168	30786	23863
169	30985	23694
170	31285	23601
171	31482	23429
172	31664	23245
173	31854	23067
174	32035	22882
175	32229	22707
176	32419	22528
177	32612	22352
178	32797	22170
179	32962	21975
180	33169	21807
181	33380	21642
182	33574	21465
183	33766	21287
184	33964	21113
185	34164	20939
186	34342	20752
187	34519	20564
188	34703	20381
189	34907	20209
190	35092	20026
191	35291	19851
192	35490	19675
193	35684	19497
194	35891	19326
195	36072	19140
196	36289	18973
197	36484	18795
198	36666	18609
199	36857	18428
200	37016	18232
201	37202	18048
202	37398	17869
203	37600	17694
204	37793	17514
205	37965	17323
206	38163	17145
207	38345	16960
208	38536	16779
209	38734	16600
210	38939	16424
211	39115	16236
212	39335	16066
213	39537	15889
214	39733	15708
215	39912	15521
216	40119	15345
217	40321	15166
218	40495	14977
219	40675	14790
220	40876	14611
221	41070	14430
222	41285	14255
223	41469	14069
224	41656	13885
225	41855	13704
226	42059	13525
227	42292	13355
228	42481	13171
229	42661	12983
230	42855	12800
231	43052	12618
232	43256	12438
233	43449	12254
234	43637	12070
235	43837	11888
236	44040	11706
237	44236	11523
238	44435	11341
239	44615	11153
240	44814	10971
241	45014	10788
242	45211	10605
243	45414	10423
244	45608	10238
245	45809	10055
246	45997	9869
247	46201	9687
248	46400	9503
249	46592	9318
250	46798	9135
251	46976	8947
252	47159	8760
253	47349	8575
254	47539	8389
255	47724	8202
256	47929	8019
257	48121	7833
258	48327	7650
259	48522	7464
260	48719	7279
261	48894	7091
262	49076	6904
263	49256	6716
264	49458	6532
265	49666	6348
266	49858	6162
267	50049	5976
268	50237	5789
269	50438	5604
270	50620	5416
271	50810	5230
272	50986	5042
273	51178	4856
274	51479	4679
275	51739	4499
276	51912	4310
277	52091	4122
278	52276	3934
279	52451	3746
280	52663	3560
281	52846	3373
282	53046	3186
283	53249	2999
284	53451	2813
285	53634	2625
286	53830	2438
287	54011	2250
288	54232	2064
289	54556	1881
290	54791	1694
291	54991	1506
292	55204	1318
293	55398	1130
294	55585	942
295	55783	753
296	55955	565
297	56151	376
298	56363	188
299	56542	0
